epoch,position,port,run_json,sha256,transfer_magnitude,phase_rms_10ms_deg,rx1_power_counts2,rx2_total_power_counts2
earlier,after,ANT5,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT5-20260908T072752.809759Z/run.json,b05687aaca1c36df48cafa40aa2fb939513a17aa879e637c2eafb9853b8b6849,0.0020020206304992667,6.813603977625144,37965.30909925,68.5027965
fresh,before,ANT1,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-before-ANT1-20260908T164249.562318Z/run.json,da82f505aa0990313b821e682ebfe126f2403ed7e1185fd395dea153b1e819a3,0.00037213815316069804,48.088402772991515,36559.13355975,85.78799875
fresh,before,ANT2,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-before-ANT2-20260908T164302.844439Z/run.json,3e9f901d40adf0fac401d8b8c3d802bae8b69a3d4f46e3bb6f2879ad82f440a6,0.004574173644039113,3.0337553723340145,36596.91941525,68.60527675
fresh,before,ANT4,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-before-ANT4-20260908T164316.618043Z/run.json,c89e1da9186a239dc8f4585436b8464931a31dc973288da3646227bdecb859a9,0.0033094304262144504,4.501353942243273,36613.43661575,68.24824475
fresh,before,ANT8,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-before-ANT8-20260908T164332.451962Z/run.json,7ff71d429148d2abb65582791deddbf3258a16270182e067ddeb6587d4078c5f,0.002411701344818538,5.951569746570259,36504.266119750006,70.24162275
fresh,before,ANT7,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-before-ANT7-20260908T164346.932847Z/run.json,b3548abcccbbb9f67671a4f21808ae9a643fc4c12836307cc1fe481c5bdd2c8a,0.0032667836092625676,4.11065108502112,36578.350837750004,68.002661
fresh,before,ANT5,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-before-ANT5-20260908T164401.305073Z/run.json,4ad4057b4718939c35e948cf8b7e2c634790c2a82e560f744a688d98a646d179,0.001953019222497398,6.96300007812964,36595.57017,68.13183525
fresh,after,ANT5,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT5-20260908T164623.928059Z/run.json,4be46cef404c7393de5a77175f9717e13bec15e6b1a5d8ff96f4ba81503559c4,0.0020020544360220298,7.264964569730493,36360.471153,68.13332175
fresh,after,ANT7,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT7-20260908T164638.596513Z/run.json,88d60a7f499d9967c1820a15554f9667f950ee548f878278cb8435d3472d2d2f,0.0033055908062955656,4.259506226844855,36392.45007225,67.70359875
fresh,after,ANT8,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT8-20260908T164654.166976Z/run.json,2f1785a4ca350e844cda2a5ab67a3d1f0a9df5d69124e90f40a760826b7532af,0.002375390746138879,5.721246221742212,36455.9564685,71.26712225
fresh,after,ANT4,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT4-20260908T164709.070295Z/run.json,128a847f8a65f338afa833a6309790347b717c897200735917abd948cadf1a2e,0.0033053445338193793,4.126537087508434,36354.619307,68.031699
fresh,after,ANT2,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT2-20260908T164722.809510Z/run.json,48f5cc1328a4468f3e34ab828974918aa16d87476960dbca079622a9033795b7,0.00476394472502309,2.9878608827895383,36126.13934475,68.535272
fresh,after,ANT1,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-ref-after-ANT1-20260908T164736.334672Z/run.json,709cb2e62a86f4f4acb7cd645f7da616afb88eff6fd1d7a13ae3d8287739f54e,0.0004051965739691466,49.32468585371073,36340.8159885,91.62607425
